Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr,ssim,vmaf,
151,1.000001,1.000003,1.000000,1.000001,1.000001,0.000000,0.000000,0.999992,0.999992,0.999992,0.999993,60.000000,1.000000,97.427318,
152,1.000001,1.000005,1.000000,1.000001,1.000000,2.666099,4.897785,0.999994,0.999994,0.999994,0.999993,60.000000,1.000000,100.000000,
153,1.000001,1.000004,1.000000,1.000001,1.000001,0.031319,2.666099,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.471141,
154,1.000001,1.000004,1.000000,1.000001,1.000000,0.031319,0.031319,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.471128,
155,1.000001,1.000004,1.000000,1.000001,1.000000,2.689485,4.227876,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
156,1.000001,1.000004,1.000000,1.000001,1.000000,0.038445,2.689485,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.481090,
157,1.000001,1.000004,1.000000,1.000001,1.000000,0.038445,0.038445,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.481075,
158,1.000001,1.000004,1.000000,1.000001,1.000001,3.321523,3.653004,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
159,1.000001,1.000004,1.000000,1.000001,1.000001,0.157032,3.321523,0.999994,0.999995,0.999994,0.999994,60.000000,1.000000,97.646229,
160,1.000001,1.000004,1.000000,1.000001,1.000000,0.157032,0.157032,0.999994,0.999995,0.999994,0.999994,60.000000,1.000000,97.646218,
161,1.000001,1.000003,1.000000,1.000001,1.000001,3.487859,3.487859,0.999994,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
162,1.000001,1.000004,1.000000,1.000001,1.000000,0.000000,4.245645,0.999994,0.999995,0.999995,0.999995,60.000000,1.000000,97.427561,
163,1.000001,1.000004,1.000000,1.000001,1.000000,0.000000,0.000000,0.999994,0.999995,0.999995,0.999995,60.000000,1.000000,97.427561,
164,1.000001,1.000004,1.000000,1.000001,1.000000,2.172674,3.445809,0.999994,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
165,1.000001,1.000005,1.000000,1.000001,1.000000,0.165174,2.172674,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.657649,
166,1.000001,1.000005,1.000000,1.000001,1.000000,0.165174,0.165174,0.999994,0.999995,0.999995,0.999995,60.000000,1.000000,97.657653,
167,1.000001,1.000005,1.000000,1.000001,1.000001,1.850301,1.850301,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,99.981426,
168,1.000001,1.000005,1.000000,1.000001,1.000000,0.000000,3.212687,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.427665,
169,1.000001,1.000005,1.000000,1.000001,1.000000,0.000000,0.000000,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.427665,
170,1.000001,1.000005,1.000000,1.000001,1.000001,1.806749,1.826649,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,99.921984,
171,1.000001,1.000005,1.000000,1.000001,1.000000,0.245751,1.806749,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.769755,
172,1.000001,1.000005,1.000000,1.000001,1.000000,0.245751,0.245751,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.769768,
173,1.000001,1.000004,1.000000,1.000001,1.000001,1.915854,2.548177,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
174,1.000001,1.000005,1.000000,1.000001,1.000001,0.045135,1.915854,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.490556,
175,1.000001,1.000005,1.000000,1.000001,1.000001,0.045135,0.045135,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.490574,
176,1.000001,1.000006,1.000000,1.000001,1.000001,0.003423,4.887744,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.432496,
177,1.000001,1.000006,1.000000,1.000001,1.000001,0.003423,0.003423,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.432496,
178,1.000002,1.000008,1.000000,1.000001,1.000001,3.267224,9.402501,0.999996,0.999996,0.999996,0.999996,60.000000,1.000000,100.000000,
179,1.000002,1.000007,1.000000,1.000001,1.000001,0.794719,3.267224,0.999996,0.999996,0.999996,0.999996,60.000000,1.000000,98.531010,
180,1.000002,1.000007,1.000000,1.000001,1.000000,0.794719,0.794719,0.999996,0.999996,0.999996,0.999996,60.000000,1.000000,98.531010,
181,1.000001,1.000007,1.000000,1.000001,1.000001,2.443990,2.443990,0.999996,0.999996,0.999996,0.999996,60.000000,1.000000,100.000000,
